rank,walletAddress,nickName,volumeUsd,realizedPnlUsd,expectedRewardUsd,rewardUnit,buyTxCount,sellTxCount,totalTxCount
84,0x2ac3bd640c7e409c519321fc7a18e74d87b3e946,0x2ac3...e946,2000532.208195772668538816,248.255676473064940855,140,USDT,,,
85,0x1ac73fd735e5d8b94e0262fe732713cb954407ef,0x1ac7...07ef,1989814.842883105040000000,-24.803516894960038589,140,USDT,,,
86,0x4f9d30d50bb71f852e64e7074f489ff97475e457,0x4f9d...e457,1982422.360898852090978554,-40.513696185263645239,140,USDT,,,
87,0x7d891b2f89ed7cf6c4b0161f365cf72d971e4075,0x7d89...4075,1978688.553792330973104821,6.711317194231175933,140,USDT,,,
88,0x59a97950a08d2d67093d21221082e392d9315ea8,0x59a9...5ea8,1935285.327638502308452869,199.676354697601424166,140,USDT,2358,2358,4716
89,0x58076d700562975cba4491e7d777bbca680fed07,爱吃包子,1896654.779124206870000000,-34.016875793131595007,140,USDT,,,
90,0xa0c5f3f6c15aea769f5cc68abf3dc6b38a0cd7c0,0xa0c5...d7c0,1890005.331207303410000000,-45.604942072607917601,140,USDT,0,0,0
91,0x58e8c7ab70b8d5e14e2b00967891567d3eb1305a,不要干土鸡,1861094.109501946340000000,-31.846298053661581519,140,USDT,0,0,0
92,0xf6b3ba4c770ab18ef291c51a841826d0d6cd672b,0xf6b3...672b,1848831.178710484597133214,-33.863160263303590258,140,USDT,3351,3351,6702
93,0xd6572a6f4ffa94e4a03fd10a1b6c53e6eefb6a73,0xd657...6a73,1838124.993301369360000000,-48.606698630640026772,140,USDT,4,4,8
94,0xd2448f1b8a3568ae2a382f528a34b20359b0d762,0xd244...d762,1828803.708812075807802223,23.446004845318465015,140,USDT,,,
95,0x30daaf6a8b3f8ec673c3cf498e04548016e31b23,浩瀚大鸡巴,1816341.679964375130000000,-32.292376741390313223,140,USDT,,,
96,0xe031da9d4c8196d5f7d7d55b5c91ed9b8483fe43,0xe031...fe43,1779218.075809868218775932,229.752854128718937587,140,USDT,,,
97,0x187b04cdf2a6dc4923b8ec3ee65e0482e41b895e,0x187b...895e,1738254.094006041710000000,-51.505993958290023564,140,USDT,,,
98,0xa5f9160b2e84c0ea7bc501fa4ed1441ec87fed7f,0xa5f9...ed7f,1699432.928044086350000000,-72.723955913650019920,140,USDT,,,
99,0x826cc324ddf378a3d24a76c3b35773504184190e,0x826c...190e,1682072.850498201840000000,-35.905378202554177743,140,USDT,,,
100,0xd6161f628dd8f0aa554c0a3d9b156a6ed06cdce6,0xd616...dce6,1664239.002397292399152067,-114.159631179359738992,140,USDT,,,
