rank,walletAddress,nickName,volumeUsd,realizedPnlUsd,expectedRewardsAeon,rewardUnit,buyTxCount,sellTxCount,totalTxCount
61,0x59789472b36504012aabf05071a5b801235ca6b3,0x5978...a6b3,28047.428384202793180985,-119.835615797206814170,2260,AEON,,,
62,0xcef658b49c276fc38b35ef15d29d901422fb801b,0xcef6...801b,28046.695051404318548559,-120.706948595681452066,2260,AEON,,,
63,0xb5d53eba4318157f5d6f0de554261e0e84512717,0xb5d5...2717,27455.985992833471614821,-115.940007166528378446,2260,AEON,,,
64,0x5ab4c1aa0ed4da7a916984f2c02d5bcccdb19377,0x5ab4...9377,27382.058266186102211210,-111.578613813897764923,2260,AEON,,,
65,0xccc33c15d9f47305a733e6e05fa8c6d15e70d3cf,0xccc3...d3cf,27366.602416234840137018,-108.680683765159855105,2260,AEON,89,87,176
66,0xce1110cddc79581101f7ffd7b68ed1ab6a464097,0xce11...4097,27354.952348686686126901,-118.621671313313865886,2260,AEON,105,103,208
67,0x935847114c05b687655ddd8891de46068a07fa91,0x9358...fa91,27321.171643934189646167,-112.737756065810341193,2260,AEON,93,95,188
68,0x91069b882aa1930782c13cfbdd52653682896290,0x9106...6290,27177.177784368318646304,-114.629495631681346356,2260,AEON,97,98,195
69,0xf2540956bf96fea1728db85fd8714a878af826db,0xf254...26db,27147.969919229491726591,-111.948500770508263208,2260,AEON,,,
70,0x3b3fae7e4b5228027c84092b93647c73ee86c9d0,0x3b3f...c9d0,27120.625054419661307091,-111.128985580338692844,2260,AEON,93,91,184
71,0x6bbe5d465d0d6075de04fcc199a91dd44c09ad22,0x6bbe...ad22,27111.982689377519647424,-111.409610622480346259,2260,AEON,,,
72,0x389fdecf2cc47781b49ad61541593c813876db24,0x389f...db24,27104.398290611729489013,-111.260069388270496028,2260,AEON,,,
73,0x401bdbbeea3e28aec95e4584e76ba7b606cbc89c,0x401b...c89c,27080.376610870898236986,-113.086189129101776415,2260,AEON,,,
74,0x72b540ee8ce4b76dd1d20eb6210e7760f5098d36,0x72b5...8d36,26982.179469455277859078,-49.503147185251261198,2260,AEON,,,
75,0x9c0ef149f25bee59dc923d8d25459acd3d9c2ecd,0x9c0e...2ecd,26863.298338868598437785,-111.051661131401559557,2260,AEON,,,
76,0xdf400045f4cd45fa51bb7df2a39420753fadad98,0xdf40...ad98,26861.782406900826914229,-113.017593099173098833,2260,AEON,,,
77,0x9bd402121ff64738f94751f5012ffce1aa731284,0x9bd4...1284,26861.627707841434784074,-112.134292158565204950,2260,AEON,,,
78,0xe9d5fd8c571ff8bf81a8a7579ccddc17511367e3,0xe9d5...67e3,26859.194329643430378529,-113.493670356569621200,2260,AEON,,,
79,0x80d4a1a3055e49ccfe748e515514908431d69d38,0x80d4...9d38,26814.811280999739376475,-110.064479000260609777,2260,AEON,,,
80,0x9bded4d746a1150e61efe3d8ce7a1a3eaa7ae66c,0x9bde...e66c,26511.706292405354100338,-109.888347594645878816,2260,AEON,,,
81,0x977966f639477872667695fe84cb7c61d23b4896,0x9779...4896,26121.485141760608246465,-108.295658239391757908,2260,AEON,26,26,52
